Record ID,Incident Year,Incident Month,Incident Day,Operator ID,Operator,Aircraft,Aircraft Type,Aircraft Make,Aircraft Model,Aircraft Mass,Engine Make,Engine Model,Engines,Engine Type,Engine1 Position,Engine2 Position,Engine3 Position,Engine4 Position,Airport ID,Airport,State,FAA Region,Warning Issued,Flight Phase,Visibility,Precipitation,Height,Speed,Distance,Species ID,Species Name,Species Quantity,Flight Impact,Fatalities,Injuries,Aircraft Damage,Radome Strike,Radome Damage,Windshield Strike,Windshield Damage,Nose Strike,Nose Damage,Engine1 Strike,Engine1 Damage,Engine2 Strike,Engine2 Damage,Engine3 Strike,Engine3 Damage,Engine4 Strike,Engine4 Damage,Engine Ingested,Propeller Strike,Propeller Damage,Wing or Rotor Strike,Wing or Rotor Damage,Fuselage Strike,Fuselage Damage,Landing Gear Strike,Landing Gear Damage,Tail Strike,Tail Damage,Lights Strike,Lights Damage,Other Strike,Other Damage
364431,2015,8,22,SWA,SOUTHWEST AIRLINES,B-737-700,A,148,42,4,10,1,2,D,1,1,,,KRSW,SOUTHWEST FLORIDA INTL ARPT,FL,ASO,,APPROACH,DAY,NONE,150,127,0,T1002,CHIMNEY SWIFT,1,NONE,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
364430,2015,8,22,SKW,SKYWEST AIRLINES,CRJ900,A,188,17,4,22,4,2,D,5,5,,,ZZZZ,UNKNOWN,,,,,,,,,,O2205,MOURNING DOVE,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
364429,2015,8,22,SKW,SKYWEST AIRLINES,CRJ700,A,188,16,4,22,4,2,D,5,5,,,ZZZZ,UNKNOWN,,,,,,,,,,1C2106,SILVER-HAIRED BAT,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
364428,2015,8,22,RPA,REPUBLIC AIRLINES,DHC8 DASH 8,A,303,10,3,31,10,2,C,4,4,,,KOMA,EPPLEY AIRFIELD,NE,ACE,Y,TAKEOFF RUN,DAY,NONE,0,90,0,YI005,BARN SWALLOW,10-Feb,NONE,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
364427,2015,8,22,JIA,PSA AIRLINES,CRJ700,A,188,16,4,22,4,2,D,5,5,,,ZZZZ,UNKNOWN,,,,,,,,,,UNKB,UNKNOWN BIRD,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
364426,2015,8,22,BUS,BUSINESS,BE-300 KING,A,123,30,1,31,4,2,C,,,,,KGSP,GREENVILLE-SPARTANBURG INTL,SC,ASO,,APPROACH,DAY,NONE,4000,240,40,UNKBM,UNKNOWN MEDIUM BIRD,1,NONE,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
364425,2015,8,22,JBU,JETBLUE AIRWAYS,EMB-190,A,332,,4,22,4,2,D,1,1,,,ZZZZ,UNKNOWN,,,,,,,,,,Y,PERCHING BIRDS,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
366562,2015,8,22,UNK,UNKNOWN,UNKNOWN,,,,,,,,,,,,,KDEN,DENVER INTL AIRPORT,CO,ANM,,,,,,,0,K3305,SWAINSON'S HAWK,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
364392,2015,8,22,ACA,AIR CANADA,EMB-190,A,332,,4,22,4,2,D,1,1,,,KLGA,LA GUARDIA ARPT,NY,AEA,,APPROACH,NIGHT,NONE,4000,250,,Y,PERCHING BIRDS,1,NONE,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
364393,2015,8,22,PVT,PRIVATELY OWNED,C-150,A,226,5,1,13,1,1,A,7,,,,KSBA,SANTA BARBARA MUNICIPAL,CA,AWP,N,LANDING ROLL,NIGHT,NONE,0,60,0,1F1,CANIDS,1,NONE,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
364394,2015,8,22,ASA,ALASKA AIRLINES,B-737-900,A,148,48,4,10,1,2,D,1,1,,,ZZZZ,UNKNOWN,,,,,,,,,,Y,PERCHING BIRDS,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
364395,2015,8,22,ASA,ALASKA AIRLINES,B-737-700,A,148,42,4,10,1,2,D,1,1,,,PAKT,KETCHIKAN INTL ARPT,AK,AAL,,APPROACH,DAY,NONE,100,150,,NE1,GULL,1,NONE,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
364928,2015,8,22,UNK,UNKNOWN,UNKNOWN,,,,,,,,,,,,,KAUS,AUSTIN-BERGSTROM INTL,TX,ASW,,,,,,,0,ZX3,SPARROW,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
364929,2015,8,22,UNK,UNKNOWN,UNKNOWN,,,,,,,,,,,,,KAVP,WILKES-BARRE/SCRANTON INTL,PA,AEA,,,,,,,0,YL001,EUROPEAN STARLING,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
364930,2015,8,22,UNK,UNKNOWN,UNKNOWN,,,,,,,,,,,,,KBLI,BELLINGHAM INTL,WA,ANM,,,,,,,0,N6016,WESTERN SANDPIPER,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
364931,2015,8,22,UNK,UNKNOWN,UNKNOWN,,,,,,,,,,,,,KBOS,GENERAL EDWARD LAWRENCE LOGAN INTL ARPT,MA,ANE,,,,,,,0,YI005,BARN SWALLOW,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
364432,2015,8,22,SWA,SOUTHWEST AIRLINES,B-737-500,A,148,33,4,10,1,2,D,1,1,,,KDAL,DALLAS LOVE FIELD ARPT,TX,ASW,N,APPROACH,DAY,NONE,7500,250,30,UNKBS,UNKNOWN SMALL BIRD,1,NONE,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
